run_name,best_epoch,train_R2Score,train_R2Score_step,train_MeanSquaredError,train_MeanSquaredError_step,train_MeanAbsoluteError,train_MeanAbsoluteError_step,train_PearsonCorrCoef,train_PearsonCorrCoef_step,train_MeanAbsolutePercentageError,train_MeanAbsolutePercentageError_step,train_loss,train_loss_step,lr-AdamW,val_R2Score,val_MeanSquaredError,val_MeanAbsoluteError,val_PearsonCorrCoef,val_MeanAbsolutePercentageError,val_loss,train_R2Score_epoch,train_MeanSquaredError_epoch,train_MeanAbsoluteError_epoch,train_PearsonCorrCoef_epoch,train_MeanAbsolutePercentageError_epoch,train_loss_epoch,train_gate_0
lipo_base_CROSS_EXP-GIN-lipo_base-0-_fold,60,0.646884560585022,0.646884560585022,0.46710461378097534,0.46710461378097534,0.5665691494941711,0.5665691494941711,0.863180935382843,0.863180935382843,0.25524118542671204,0.25524118542671204,0.46710461378097534,0.46710461378097534,0.0004873212310485542,0.6060638427734375,0.4893648028373718,0.5283917188644409,0.7856460809707642,449.447021484375,0.4893648028373718,0.7497127056121826,0.35330116748809814,0.46522045135498047,0.8859567642211914,484.48724365234375,0.35330116748809814,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-0-_fold,195,0.8045830130577087,0.8045830130577087,0.30415984988212585,0.30415984988212585,0.4475501775741577,0.4475501775741577,0.9080896973609924,0.9080896973609924,0.4609620273113251,0.4609620273113251,0.30415984988212585,0.30415984988212585,0.003163666697219014,0.622514545917511,0.5287764072418213,0.5518032312393188,0.7982774376869202,0.9824585318565369,0.5287764072418213,0.7839725017547607,0.29689961671829224,0.4288803040981293,0.9061593413352966,147.90892028808594,0.29689961671829224,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-0-_fold,181,0.6812566518783569,0.6812566518783569,0.4069894552230835,0.4069894552230835,0.49379482865333557,0.49379482865333557,0.8407571315765381,0.8407571315765381,0.5449028611183167,0.5449028611183167,0.4069894552230835,0.4069894552230835,0.004020882770419121,0.6035199165344238,0.5245393514633179,0.5346211194992065,0.7869024872779846,2058.42578125,0.5245393514633179,0.7751765847206116,0.30494457483291626,0.4363955855369568,0.9071041941642761,44.96049499511719,0.30494457483291626,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-0-_fold,118,0.8624299764633179,0.8624299764633179,0.1897483915090561,0.1897483915090561,0.3584960997104645,0.3584960997104645,0.9291897416114807,0.9291897416114807,0.28183209896087646,0.28183209896087646,0.1897483915090561,0.1897483915090561,0.0007171232136897743,0.6345013976097107,0.5239465832710266,0.5335842370986938,0.8104448318481445,0.65337073802948,0.5239465832710266,0.832301139831543,0.22751018404960632,0.37553033232688904,0.929251492023468,471.1871337890625,0.22751018404960632,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-0-_fold,174,0.8131316304206848,0.8131316304206848,0.21309052407741547,0.21309052407741547,0.3332447409629822,0.3332447409629822,0.9063414335250854,0.9063414335250854,0.2372390627861023,0.2372390627861023,0.21309052407741547,0.21309052407741547,0.004405358340591192,0.6322450041770935,0.543923020362854,0.5522741675376892,0.8049049973487854,0.8067178726196289,0.543923020362854,0.7831690311431885,0.29108044505119324,0.4254009425640106,0.9059662222862244,428.8963317871094,0.29108044505119324,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-1-_fold,180,0.9068720936775208,0.9068720936775208,0.14575470983982086,0.14575470983982086,0.2913745641708374,0.2913745641708374,0.9526407718658447,0.9526407718658447,0.42425107955932617,0.42425107955932617,0.14575470983982086,0.14575470983982086,0.004078085068613291,0.590673565864563,0.5135286450386047,0.5301231741905212,0.778247594833374,847.4072265625,0.5135286450386047,0.8097306489944458,0.2631057798862457,0.4047043025493622,0.9239352941513062,460.7612609863281,0.2631057798862457,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-1-_fold,162,0.8264048099517822,0.8264048099517822,0.2515091896057129,0.2515091896057129,0.420623779296875,0.420623779296875,0.9197922348976135,0.9197922348976135,0.3395407795906067,0.3395407795906067,0.2515091896057129,0.2515091896057129,0.004958548583090305,0.6666247248649597,0.46613216400146484,0.5095527172088623,0.8263611197471619,0.90451979637146,0.46613216400146484,0.7634716033935547,0.32100948691368103,0.4470956027507782,0.8976075649261475,637.0853271484375,0.32100948691368103,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-1-_fold,130,0.8522322177886963,0.8522322177886963,0.16605912148952484,0.16605912148952484,0.3338719606399536,0.3338719606399536,0.9383111000061035,0.9383111000061035,0.4340764880180359,0.4340764880180359,0.16605912148952484,0.16605912148952484,5.246267028269358e-05,0.6107357144355774,0.5103585720062256,0.5417805910110474,0.7877745628356934,2377.316650390625,0.5103585720062256,0.8325743675231934,0.2268790602684021,0.374506413936615,0.9344353675842285,92.09681701660156,0.2268790602684021,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-1-_fold,181,0.7762314677238464,0.7762314677238464,0.3099987506866455,0.3099987506866455,0.43555113673210144,0.43555113673210144,0.8901574611663818,0.8901574611663818,0.5451247096061707,0.5451247096061707,0.3099987506866455,0.3099987506866455,0.004020882770419121,0.6321215033531189,0.5400292277336121,0.5313848257064819,0.8074215054512024,0.7513531446456909,0.5400292277336121,0.7831268310546875,0.2812897264957428,0.413767009973526,0.9184995293617249,527.7527465820312,0.2812897264957428,0.0
lipo_base_CROSS_EXP-GIN-lipo_base-1-_fold,121,0.8464349508285522,0.8464349508285522,0.16557525098323822,0.16557525098323822,0.3269692659378052,0.3269692659378052,0.9291266202926636,0.9291266202926636,0.21503709256649017,0.21503709256649017,0.16557525098323822,0.16557525098323822,0.00047972597531042993,0.667267382144928,0.4975760877132416,0.5332083106040955,0.822350800037384,0.7985504865646362,0.4975760877132416,0.8161136507987976,0.24361029267311096,0.388070285320282,0.9278661608695984,407.9136657714844,0.24361029267311096,0.0
