run_name,best_epoch,train_BinaryAUROC,train_BinaryAUROC_step,train_loss,train_loss_step,lr-AdamW,val_BinaryAUROC,val_loss,train_BinaryAUROC_epoch,train_loss_epoch,train_gate_0
bace_base_BASELINE_EXP-GIN-bace_base-2layer_fold,45,0.9790209531784058,0.9790209531784058,0.2530290186405182,0.2530290186405182,0.00024124210176523775,0.9002597961425781,0.400790810585022,0.9607909321784973,0.2990790009498596,0.0
bace_base_BASELINE_EXP-GIN-bace_base-2layer_fold,62,0.984375,0.984375,0.2065643072128296,0.2065643072128296,0.0021239053457975388,0.901010648727417,0.37732064723968506,0.9341809153556824,0.34259676933288574,0.0
bace_base_BASELINE_EXP-GIN-bace_base-2layer_fold,83,0.9642857313156128,0.9642857313156128,0.25521406531333923,0.25521406531333923,0.0006977493758313358,0.8792024254798889,0.5640952587127686,0.9700614213943481,0.2439367175102234,0.0
bace_base_BASELINE_EXP-GIN-bace_base-2layer_fold,52,0.9703704118728638,0.9703704118728638,0.2351909875869751,0.2351909875869751,0.0024235518649220467,0.895355761051178,0.4258972704410553,0.9308323264122009,0.3559781014919281,0.0
bace_base_BASELINE_EXP-GIN-bace_base-2layer_fold,56,0.9037036299705505,0.9037036299705505,0.4329526722431183,0.4329526722431183,0.0023536444641649723,0.8874697089195251,0.45161157846450806,0.9331235885620117,0.3627881109714508,0.0
bace_base_BASELINE_EXP-GAT-bace_base-2layer_fold,59,0.8741258978843689,0.8741258978843689,0.40509018301963806,0.40509018301963806,0.002256268635392189,0.8764392137527466,0.4738147556781769,0.8711302876472473,0.46819794178009033,0.0
bace_base_BASELINE_EXP-GAT-bace_base-2layer_fold,92,0.8739495277404785,0.8739495277404785,0.5108835697174072,0.5108835697174072,0.00020264853083062917,0.8827948570251465,0.4452773332595825,0.9199283719062805,0.3782293498516083,0.0
bace_base_BASELINE_EXP-GAT-bace_base-2layer_fold,103,0.8642856478691101,0.8642856478691101,0.4370557367801666,0.4370557367801666,0.0024299907963722944,0.8392528891563416,0.5992864966392517,0.9041721820831299,0.4067503809928894,0.0
bace_base_BASELINE_EXP-GAT-bace_base-2layer_fold,107,0.6293706297874451,0.6293706297874451,0.7665689587593079,0.7665689587593079,0.002413261216133833,0.866426944732666,0.4594820439815521,0.8820657134056091,0.43653422594070435,0.0
bace_base_BASELINE_EXP-GAT-bace_base-2layer_fold,74,0.9500000476837158,0.9500000476837158,0.3104988932609558,0.3104988932609558,0.0013483475195243955,0.8668122887611389,0.4720238149166107,0.8902868628501892,0.42070257663726807,0.0
bace_base_BASELINE_EXP-GCN-bace_base-2layer_fold,34,0.804195761680603,0.804195761680603,0.7060341835021973,0.7060341835021973,0.001700574648566544,0.892741858959198,0.44873014092445374,0.9288210868835449,0.35479798913002014,0.0
bace_base_BASELINE_EXP-GCN-bace_base-2layer_fold,43,1.0,1.0,0.3082536458969116,0.3082536458969116,0.0004435247974470258,0.8949756622314453,0.42420241236686707,0.9582958817481995,0.3060395419597626,0.0
bace_base_BASELINE_EXP-GCN-bace_base-2layer_fold,21,0.8714285492897034,0.8714285492897034,0.44595256447792053,0.44595256447792053,0.00043444809853099287,0.8698636889457703,0.4848632216453552,0.9150943756103516,0.37151193618774414,0.0
bace_base_BASELINE_EXP-GCN-bace_base-2layer_fold,43,1.0,1.0,0.175651416182518,0.175651416182518,0.0004435247974470258,0.9004305601119995,0.421004980802536,0.967761218547821,0.26003146171569824,0.0
bace_base_BASELINE_EXP-GCN-bace_base-2layer_fold,37,0.9185184836387634,0.9185184836387634,0.38775262236595154,0.38775262236595154,0.0012683351524174213,0.8898387551307678,0.4547368288040161,0.9507514238357544,0.31449851393699646,0.0
bbbp_base_BASELINE_EXP-GIN-bbbp_base-2layer_fold,73,0.9657143354415894,0.9657143354415894,0.254218727350235,0.254218727350235,0.000928828027099371,0.8945030570030212,0.3827698528766632,0.9868500232696533,0.13917501270771027,0.0
bbbp_base_BASELINE_EXP-GIN-bbbp_base-2layer_fold,27,0.8589743971824646,0.8589743971824646,0.30986112356185913,0.30986112356185913,0.001549657667055726,0.898472249507904,0.34666478633880615,0.929938793182373,0.28552624583244324,0.0
bbbp_base_BASELINE_EXP-GIN-bbbp_base-2layer_fold,26,0.9541666507720947,0.9541666507720947,0.38596442341804504,0.38596442341804504,0.0015729075530543923,0.9136527180671692,0.327854722738266,0.9367210268974304,0.26661890745162964,0.0
bbbp_base_BASELINE_EXP-GIN-bbbp_base-2layer_fold,56,0.96875,0.96875,0.22949351370334625,0.22949351370334625,0.0015351384645327926,0.9527714848518372,0.30103155970573425,0.9733595252037048,0.19870871305465698,0.0
bbbp_base_BASELINE_EXP-GIN-bbbp_base-2layer_fold,65,0.9679487347602844,0.9679487347602844,0.23631112277507782,0.23631112277507782,0.0012324651470407844,0.9036169052124023,0.38713547587394714,0.9707143306732178,0.17515791952610016,0.0
bbbp_base_BASELINE_EXP-GAT-bbbp_base-2layer_fold,83,0.9218750596046448,0.9218750596046448,0.2985730469226837,0.2985730469226837,0.0004575563652906567,0.9033617377281189,0.32683008909225464,0.9658982753753662,0.21505974233150482,0.0
bbbp_base_BASELINE_EXP-GAT-bbbp_base-2layer_fold,64,0.9275361895561218,0.9275361895561218,0.3311392664909363,0.3311392664909363,0.001316969865001738,0.9236744046211243,0.28758588433265686,0.952541708946228,0.2566468119621277,0.0
bbbp_base_BASELINE_EXP-GAT-bbbp_base-2layer_fold,43,0.8208333253860474,0.8208333253860474,0.5809635519981384,0.5809635519981384,0.0002921184350270778,0.9092633128166199,0.32429036498069763,0.9379628896713257,0.2765713930130005,0.0
bbbp_base_BASELINE_EXP-GAT-bbbp_base-2layer_fold,118,1.0,1.0,0.15250584483146667,0.15250584483146667,0.0014849299332126975,0.9396279454231262,0.29507550597190857,0.959916353225708,0.22982853651046753,0.0
bbbp_base_BASELINE_EXP-GAT-bbbp_base-2layer_fold,69,0.9732142686843872,0.9732142686843872,0.1772567629814148,0.1772567629814148,0.0010505963582545519,0.9112594723701477,0.3516579568386078,0.9425728917121887,0.25228261947631836,0.0
bbbp_base_BASELINE_EXP-GCN-bbbp_base-2layer_fold,51,0.9942857623100281,0.9942857623100281,0.11164083331823349,0.11164083331823349,0.0015847192844375968,0.8786672949790955,0.3939847946166992,0.9948559403419495,0.10626156628131866,0.0
bbbp_base_BASELINE_EXP-GCN-bbbp_base-2layer_fold,27,0.9567099809646606,0.9567099809646606,0.31847503781318665,0.31847503781318665,0.001549657667055726,0.8943078517913818,0.35938015580177307,0.9516142010688782,0.25091180205345154,0.0
bbbp_base_BASELINE_EXP-GCN-bbbp_base-2layer_fold,7,0.8914285898208618,0.8914285898208618,0.3943651616573334,0.3943651616573334,0.0013327838387340307,0.8883845210075378,0.34667253494262695,0.8386516571044922,0.4278757572174072,0.0
bbbp_base_BASELINE_EXP-GCN-bbbp_base-2layer_fold,29,1.0,1.0,0.19944819808006287,0.19944819808006287,0.0014697578735649586,0.9144214987754822,0.3911726176738739,0.9532857537269592,0.23597800731658936,0.0
bbbp_base_BASELINE_EXP-GCN-bbbp_base-2layer_fold,32,0.9318181872367859,0.9318181872367859,0.35686352849006653,0.35686352849006653,0.0012292335741221905,0.9103326797485352,0.3628533184528351,0.9589642286300659,0.2175409495830536,0.0
tox_base_BASELINE_EXP-GIN-tox_base-2layer_fold,43,0.9050847291946411,0.9050847291946411,0.2095903754234314,0.2095903754234314,0.0030944684986025095,0.9159483313560486,0.17613205313682556,0.9642922282218933,0.12843187153339386,0.0
tox_base_BASELINE_EXP-GIN-tox_base-2layer_fold,39,0.9836065769195557,0.9836065769195557,0.10495627671480179,0.10495627671480179,0.003431128803640604,0.9280605316162109,0.18502864241600037,0.8874644637107849,0.15029996633529663,0.0
tox_base_BASELINE_EXP-GIN-tox_base-2layer_fold,23,0.9344262480735779,0.9344262480735779,0.10148360580205917,0.10148360580205917,0.0025745402090251446,0.8376284241676331,0.2983790934085846,0.9412974119186401,0.15141674876213074,0.0
tox_base_BASELINE_EXP-GIN-tox_base-2layer_fold,35,0.9511494636535645,0.9511494636535645,0.16140328347682953,0.16140328347682953,0.003580421209335327,0.9065183401107788,0.18719059228897095,0.923905074596405,0.10119345784187317,0.0
