run_name,best_epoch,train_R2Score,train_R2Score_step,train_MeanSquaredError,train_MeanSquaredError_step,train_MeanAbsoluteError,train_MeanAbsoluteError_step,train_PearsonCorrCoef,train_PearsonCorrCoef_step,train_MeanAbsolutePercentageError,train_MeanAbsolutePercentageError_step,train_loss,train_loss_step,lr-AdamW,val_R2Score,val_MeanSquaredError,val_MeanAbsoluteError,val_PearsonCorrCoef,val_MeanAbsolutePercentageError,val_loss,train_R2Score_epoch,train_MeanSquaredError_epoch,train_MeanAbsoluteError_epoch,train_PearsonCorrCoef_epoch,train_MeanAbsolutePercentageError_epoch,train_loss_epoch,train_gate_0
mp_base_BASELINE_EXP-GIN-mp_base-2layer_fold,118,0.7385684251785278,0.7385684251785278,1337.9908447265625,1337.9908447265625,28.913387298583984,28.913387298583984,0.8851262927055359,0.8851262927055359,0.6530198454856873,0.6530198454856873,1337.9908447265625,1337.9908447265625,0.0003017580893356353,0.6701744794845581,1820.9200439453125,32.67329025268555,0.8282023668289185,60507.8203125,1820.9200439453125,0.7784233689308167,1212.7252197265625,26.986597061157227,0.8970984816551208,25568.77734375,1212.7252197265625,0.0
mp_base_BASELINE_EXP-GIN-mp_base-2layer_fold,121,0.7239528894424438,0.7239528894424438,1514.195556640625,1514.195556640625,29.966344833374023,29.966344833374023,0.8526953458786011,0.8526953458786011,0.6942988038063049,0.6942988038063049,1514.195556640625,1514.195556640625,0.00024435765226371586,0.6234139800071716,1871.138427734375,32.24224090576172,0.8060752749443054,26322.732421875,1871.138427734375,0.7779151201248169,1246.9483642578125,27.142263412475586,0.8900421857833862,19158.990234375,1246.9483642578125,0.0
mp_base_BASELINE_EXP-GIN-mp_base-2layer_fold,116,0.7974890470504761,0.7974890470504761,1013.6929931640625,1013.6929931640625,24.406328201293945,24.406328201293945,0.8970245718955994,0.8970245718955994,0.6200737357139587,0.6200737357139587,1013.6929931640625,1013.6929931640625,0.00034010078525170684,0.6833018064498901,1763.4278564453125,32.9567756652832,0.8315868973731995,0.7878295183181763,1763.4278564453125,0.758877694606781,1310.0244140625,28.235769271850586,0.8846190571784973,44047.296875,1310.0244140625,0.0
mp_base_BASELINE_EXP-GIN-mp_base-2layer_fold,117,0.7919904589653015,0.7919904589653015,1359.9473876953125,1359.9473876953125,28.62120819091797,28.62120819091797,0.8920518755912781,0.8920518755912781,1.313608169555664,1.313608169555664,1359.9473876953125,1359.9473876953125,0.0003180404892191291,0.6346137523651123,2006.553955078125,33.93984603881836,0.8082466721534729,11726.7138671875,2006.553955078125,0.7641165256500244,1282.98388671875,28.157520294189453,0.8871214389801025,26922.1015625,1282.98388671875,0.0
mp_base_BASELINE_EXP-GIN-mp_base-2layer_fold,121,0.7741587162017822,0.7741587162017822,1512.0045166015625,1512.0045166015625,29.605384826660156,29.605384826660156,0.8829136490821838,0.8829136490821838,1.1269185543060303,1.1269185543060303,1512.0045166015625,1512.0045166015625,0.00024435765226371586,0.6927266716957092,1686.48779296875,31.827543258666992,0.8369566798210144,38869.84765625,1686.48779296875,0.7718295454978943,1215.8616943359375,27.38576889038086,0.8938276767730713,7099.49853515625,1215.8616943359375,0.0
mp_base_BASELINE_EXP-GAT-mp_base-2layer_fold,88,0.6581283807754517,0.6581283807754517,2149.146728515625,2149.146728515625,34.67118835449219,34.67118835449219,0.8469004034996033,0.8469004034996033,0.6192867755889893,0.6192867755889893,2149.146728515625,2149.146728515625,0.000856374972499907,0.6875107884407043,1720.2801513671875,31.83544921875,0.8335788249969482,16616.958984375,1720.2801513671875,0.6344936490058899,1984.747802734375,35.057655334472656,0.8266445398330688,13551.970703125,1984.747802734375,0.0
mp_base_BASELINE_EXP-GAT-mp_base-2layer_fold,136,0.6935961246490479,0.6935961246490479,2043.549072265625,2043.549072265625,35.25100326538086,35.25100326538086,0.8416666984558105,0.8416666984558105,0.6992586851119995,0.6992586851119995,2043.549072265625,2043.549072265625,4.7595760406693444e-05,0.6609784364700317,1676.3880615234375,31.233915328979492,0.8266241550445557,8041.51123046875,1676.3880615234375,0.7143828272819519,1617.3599853515625,31.633970260620117,0.8563705682754517,31473.791015625,1617.3599853515625,0.0
mp_base_BASELINE_EXP-GAT-mp_base-2layer_fold,94,0.6297582387924194,0.6297582387924194,1577.5533447265625,1577.5533447265625,29.831022262573242,29.831022262573242,0.8224815726280212,0.8224815726280212,3810.926025390625,3810.926025390625,1577.5533447265625,1577.5533447265625,0.0007678594556637108,0.7007361650466919,1614.591796875,32.315486907958984,0.8484532833099365,0.6947967410087585,1614.591796875,0.6437107920646667,1916.934326171875,34.216156005859375,0.8242704272270203,48445.0546875,1916.934326171875,0.0
mp_base_BASELINE_EXP-GAT-mp_base-2layer_fold,117,0.7797827124595642,0.7797827124595642,1244.2923583984375,1244.2923583984375,28.793230056762695,28.793230056762695,0.8846147656440735,0.8846147656440735,0.46598243713378906,0.46598243713378906,1244.2923583984375,1244.2923583984375,0.0003180404892191291,0.6454410552978516,1951.33544921875,33.3145866394043,0.8162470459938049,7219.00341796875,1951.33544921875,0.6824718713760376,1684.4031982421875,32.01459884643555,0.8447830677032471,23160.44140625,1684.4031982421875,0.0
mp_base_BASELINE_EXP-GAT-mp_base-2layer_fold,113,0.6227994561195374,0.6227994561195374,2522.3828125,2522.3828125,38.76632308959961,38.76632308959961,0.8716097474098206,0.8716097474098206,0.4885063171386719,0.4885063171386719,2522.3828125,2522.3828125,0.0003966722870245576,0.7261838316917419,1522.5848388671875,30.34292984008789,0.8547605872154236,79655.2421875,1522.5848388671875,0.6733817458152771,1730.0145263671875,32.00575637817383,0.8397849798202515,15074.9375,1730.0145263671875,0.0
