entry_id,smiles,cation_family,anion_family,value
Albmz,CCOCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.4110999999999998
AlxXH,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.43627
AmPoQ,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.3454000000000002
ApTEW,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.51696
Apcsf,CCCC[N+]1(C)C2CCC1CC(O)C2.NC(Cc1ccccc1)C(=O)[O-],pyrrolidinium,carboxylates,1.133
ArTJi,CCC[NH+](C)CCC.O=S(=O)([O-])C(F)(F)F,ammonium,sulfonates,1.211
Aravk,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.46445
ArazK,CCCCCCCCCCn1c[n+](C)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triazolium,bistriflamides,1.3
AsdFt,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.519
AuvxC,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.2975999999999999
AvRqQ,COCCCC[n+]1ccn(C)c1.NCC(=O)[O-],imidazolium,carboxylates,1.162
BAtyU,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.4212
BAyGQ,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.4342300000000001
BBRkJ,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.3674000000000002
BBdGv,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,imidazolium,carboxylates,1.2127999999999999
BBgjb,CCCC[n+]1ccn(C)c1.CC(C)C(=O)[O-],imidazolium,carboxylates,1.074
BBwJo,CCCC[P+](CCCC)(CCCC)CCCC.NCCCCC(N)C(=O)[O-],phosphonium,carboxylates,0.9675
BDNuu,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.2389000000000001
BKosl,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.2122
BKpqV,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,phosphonium,bistriflamides,1.3822999999999999
BLwql,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.1069
BMily,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.2295999999999998
BMxyc,CCCCCCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.10984
BPphN,CCCC[n+]1ccn(C(CC)CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.3195999999999999
BQiyw,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.382
BSnus,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,piperidinium,bistriflamides,1.4332
BSreP,CCCC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.0697
BTZrq,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,imidazolium,bistriflamides,1.442
BUbtb,CC[NH2+]CC.CC(=O)[O-],ammonium,carboxylates,0.946
BUzwN,CCCCn1cc[n+](C2CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.375
BXccU,[NH3+]CCO.CC(O)C(=O)[O-],ammonium,carboxylates,1.20187
BYPcK,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.34413
BZAam,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,ammonium,sulfonates,1.284
BZBMk,Cn1cc[n+](CCCCS(=O)(=O)O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.583
BZPLJ,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.2937
BaFCP,CN(C)C(=[NH2+])N(C)C.CCCCCCC(=O)[O-],guanidinium,carboxylates,0.9827
BaHgW,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.06085
BbQhq,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.234
BcQaO,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.39451
BguHk,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,1.2418
BhtOT,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.237
BjbyD,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.4194
Bjcsv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.368
BlOTr,Cn1cc[n+](CCO)c1.N#C[N-]C#N,imidazolium,amides,1.1862000000000001
BnkAT,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,guanidinium,bistriflamides,1.5820999999999998
BoHwY,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,imidazolium,bistriflamides,1.45
BomxD,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.157
BpZGI,CCCCCC[n+]1ccn(C)c1.[Br-],imidazolium,inorganics,1.2292
BpfdE,CCCC[n+]1ccn(CC)c1.[Br-],imidazolium,inorganics,1.259
BrDZc,CCC[n+]1ccn(C)c1C.O=S(=O)([O-])O,imidazolium,sulfates,1.2328
BrQek,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.51838
BrbdA,COCC[n+]1ccccc1.N#C[C-](C#N)C#N,pyridinium,methanides,1.1275
BrvMK,CC[n+]1ccn(C)c1.CO[PH](=O)[O-],imidazolium,organic phosphates,1.1918
