entry_id,smiles,cation_family,anion_family,value
BniVa,CCCC[n+]1ccn(C)c1.CCCCCCOC(=O)CC(C(=O)OCCCCCC)C(C(=O)OCCCCCC)S(=O)(=O)[O-],imidazolium,sulfonates,3.5609820555862353
BonVt,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC.O=C([O-])CCCCCCCCC(=O)O,ammonium,carboxylates,3.5268559871258747
BrlGd,CCCCCC[NH+](CCCCCC)CCCCCC.CCCCCCCC(=O)[O-],ammonium,carboxylates,1.143014800254095
BvazU,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,2.8521001127866046
BwADN,CCn1cc[n+](C)c1.CC(O)C(=O)[O-],imidazolium,carboxylates,2.2278867046136734
BxtjV,CCCCn1cc[n+](C)c1.CO[PH](=O)[O-],imidazolium,organic phosphates,2.27415784926368
ByHWg,CC[NH+]=C(N(C)C)N(C)C.CCOS(=O)(=O)[O-],guanidinium,sulfates,2.643452676486187
ByNed,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,pyrrolidinium,bistriflamides,1.725911632295048
BzQsV,CN(C)C(=[NH2+])N(C)C.CCCCCCCC(=O)[O-],guanidinium,carboxylates,2.869231719730976
CAdpW,CCCC[P+](CCCC)(CCCC)CCCC.N#C[N-]C#N,phosphonium,amides,2.0453229787866576
CFpet,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.7781512503836436
CGurp,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],pyridinium,sulfates,2.1367205671564067
CGzow,CC[n+]1cccc(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pyridinium,carboxylates,2.16761267272753
CHWqm,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,imidazolium,carboxylates,1.5171958979499742
CLNPW,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.73559889969818
CLSxm,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,2.141136090120739
CLlEA,CCCCCC[n+]1ccc(N(C)C)c(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,2.0492180226701815
CNZRb,COCC[n+]1ccccc1.N#C[S-],pyridinium,inorganics,2.147985320683805
CNaXC,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,imidazolium,organic phosphates,2.506505032404872
CONRH,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,2.096910013008056
CPrzw,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,2.0530784434834195
CXYfP,CCCC[n+]1ccn(C)c1.CCCCCCCCOS(=O)(=O)[O-],imidazolium,sulfates,2.9489017609702137
CZSzO,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,pyridinium,sulfonates,1.7824726241662865
ChObi,CC[NH+](CC)CC.CC(=O)[O-],ammonium,carboxylates,1.3827372657613304
ChZcH,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,imidazolium,bistriflamides,1.285557309007774
Cihak,OCC[NH2+]c1ccccc1.CCCCCC(=O)[O-],ammonium,carboxylates,1.598790506763115
