entry_id,smiles,cation_family,anion_family,value
HxrSo,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2282
IDLQK,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.2677
IJWeB,CC(C)COC(=O)C([NH3+])C(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,1.4085999999999999
ILzmn,C[N+]1=C(O)CCC1.CCCCC(=O)[O-],amidium,carboxylates,1.4105
INdlX,OCC[NH2+]CCO.O=C[O-],ammonium,carboxylates,1.79885
IQDvb,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.6584
IWwQI,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.737
IZuUy,CCCCCCCCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2832999999999999
IpOSe,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.26
IpwmJ,C[NH+](C)C.O=S(=O)([O-])O,ammonium,sulfates,1.564
JURnF,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.4356
JYmMu,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2395999999999998
JgvJW,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.443
JkesW,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4436
JmDwK,CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.239
JyMva,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2278
Jzjoc,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.276
KEoTN,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.228
KJlaV,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.4356
KOtGW,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.756
KPSln,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.228
KXGem,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2595999999999998
KffFt,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2267000000000001
Kqrha,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.227
KsXpe,CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.222
KyZEg,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],phosphonium,sulfates,1.546
Kycyb,CCCC[N+]1(C)CCOCC1.CC(=O)NC(C)C(=O)[O-],morpholinium,carboxylates,1.8665
LLtXz,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,imidazolium,sulfates,1.6898
LQZfQ,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,pyridinium,sulfonates,1.4122999999999999
LTRqy,CCCC[N+]1(C)CCOCC1.CC(=O)NC(CC(C)C)C(=O)[O-],morpholinium,carboxylates,1.7955999999999999
LZQoD,CCCCCCCCn1cc[n+](C)c1.[Cl-],imidazolium,inorganics,1.715
LeWgA,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,1.766
LvoSq,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.813
LwMVS,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.687
MHDvd,CCCC[n+]1ccn(C)c1.[I-],imidazolium,inorganics,1.4975
MIGpS,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.4358
MJyHT,CCn1cc[n+](C)c1.CC(O)C(=O)[O-],imidazolium,carboxylates,1.73205
MNWpd,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2674
MOdfa,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4424000000000001
MWRQN,CCCC[n+]1ccn(C)c1.CCCCCCCCOS(=O)(=O)[O-],imidazolium,sulfates,1.4847000000000001
MbrCu,CCCC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.7675
MfeAl,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.735
MlcdX,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.735
NKimN,CC[NH2+]CC.O=S(=O)([O-])O,ammonium,sulfates,1.432
NdcGQ,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.408
Njjqs,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4423
NmzBi,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.2694
NpsXK,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.226
Nstov,CCCC[n+]1ccn(C)c1.CCCCCCCCOS(=O)(=O)[O-],imidazolium,sulfates,1.4713500000000002
NxQhm,CCCn1cc[n+](C)c1.[Br-],imidazolium,inorganics,1.672
OEuiJ,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],phosphonium,sulfates,1.546
OItsF,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,phosphonium,sulfonates,1.6288
Oemtf,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4064
OhfWK,[NH3+]CCO.CC(O)C(=O)[O-],ammonium,carboxylates,1.8656
OxZml,CCCCCC[n+]1ccn(C)c1.[Br-],imidazolium,inorganics,1.5872
PAOlK,CC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2686
PDLfk,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.2677
PFkBv,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.6802000000000001
PMNdH,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2307000000000001
PWDZP,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.8115
PeQce,CCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C(=O)[O-])C(C)C,morpholinium,carboxylates,1.7467000000000001
PftMo,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2858
Pqhud,CCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2708
PspXL,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.228
PzXBr,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,pyridinium,sulfonates,1.4161
QHkVT,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.443
QNtom,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.22752
QZbfX,CCC[NH3+].O=C[O-],ammonium,carboxylates,1.5407
Qqzdv,C[NH+](C)C.O=P([O-])(O)O,ammonium,organic phosphates,1.672
QtFhi,OCC[NH2+]c1ccccc1.CCCC(=O)[O-],ammonium,carboxylates,1.5263
Quvvv,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3932
QwxZU,CCCCCc1c(C)cc(C)c[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.309
