smiles,MP
CCC[N+]1=CN(C)C=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,34.0
F[P-](F)(F)(F)(F)F.CCC[N+]1=CN(C)C=C1,40.0
[I-].CC(C)[N+]1=CN(C)C=C1,114.0
CC(C)[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,16.0
CC(C)[N+]1=CN(C)C=C1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,29.0
F[P-](F)(F)(F)(F)F.CC(C)[N+]1=CN(C)C=C1,102.0
[Cl-].COCC[N+]1=CN(C)C=C1,67.0
F[B-](F)(F)C(F)(F)F.COCC[N+]1=CN(C)C=C1,2.0
COCC[N+]1=CN(C)C=C1.F[B-](F)(F)C(F)(F)C(F)(F)F,-9.0
[O-]S(=O)(=O)C(F)(F)F.COCC[N+]1=CN(C)C=C1,27.0
F[P-](F)(F)(F)(F)F.COCC[N+]1=CN(C)C=C1,26.0
CCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,104.0
CCCC[N+]1=CN(C)C=C1.C[Si](C)(CCC(F)(F)F)C1=CC=C(C=C1)[B-](C1=CC=C(C=C1)[Si](C)(C)CCC(F)(F)F)(C1=CC=C(C=C1)[Si](C)(C)CCC(F)(F)F)C1=CC=C(C=C1)[Si](C)(C)CCC(F)(F)F,104.0
CCCC[N+]1=CN(C)C=C1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C1)[B-](C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,90.0
CCCC[N+]1=CN(C)C=C1.F[B-](F)(F)C(F)(F)C(F)(F)F,-42.0
CC(CC#N)[B-](F)(F)F.CCCC[N+]1=CN(C)C=C1,-85.0
CCCC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-9.0
N#C[N-]C#N.CCCC[N+]1=CN(C)C=C1,-6.0
[O-]S(=O)(=O)C(F)(F)F.CCCC[N+]1=CN(C)C=C1,16.0
CCCC[N+]1=CN(C)C=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20.0
CCCCCOS([O-])(=O)=O.CCCC[N+]1=CN(C)C=C1,-17.0
CCCC[N+]1=CN(C)C=C1.[O-]S(=O)(=O)OCCCC(F)(F)C(F)(F)F,-15.0
CCCC[N+]1=CN(C)C=C1.[O-]S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-61.0
[O-]C(=O)C(F)(F)F.CCCC[N+]1=CN(C)C=C1,-40.0
CC([O-])=O.CCCC[N+]1=CN(C)C=C1,-20.0
CCCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,82.0
CCCCC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-9.0
CCCCC[N+]1=CN(C)C=C1.O=C1[N-]S(=O)(=O)C2=CC=CC=C12,64.0
CCCC[N+]1=CN(CC)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-8.0
[O-]S(=O)(=O)C(F)(F)F.CCCC[N+]1=CN(CC)C=C1,2.0
CCCC[N+]1=CN(CC)C=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,21.0
[O-]C(=O)C(F)(F)F.CCCC[N+]1=CN(CC)C=C1,-40.0
[Cl-].CCCCCC[N+]1=CN(C)C=C1,-75.0
CCCCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,82.0
F[B-](F)(F)C(F)(F)C(F)(F)F.CCCCCC[N+]1=CN(C)C=C1,-10.0
CCCCCC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-7.0
[O-]S(=O)(=O)C(F)(F)F.CCCCCC[N+]1=CN(C)C=C1,29.0
CCCCCC[N+]1=CN(C)C=C1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-50.0
[Br-].CN1C=C[N+](CC(=O)C2=CC=CC=C2)=C1,49.0
CCCCCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,69.0
CCCCCCC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,7.0
[Cl-].CCCCN1C=C[N+](CCCC)=C1,55.0
[Br-].CN1C=C[N+](CC2=CC=CC=C2)=C1,126.0
[O-]S(=O)(=O)C(F)(F)F.CN1C=C[N+](CC2=CC=CC=C2)=C1,27.0
F[P-](F)(F)(F)(F)F.CN1C=C[N+](CC2=CC=CC=C2)=C1,130.0
[O-]S(=O)(=O)C(F)(F)F.COC1=CC=C(C=C1)[N+]1=CN(C)C=C1,45.0
CCCCCCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,75.0
F[P-](F)(F)(F)(F)F.CCCCCCCC[N+]1=CN(C)C=C1,-40.0
CN1C=C[N+](CCC2=CC=CC=C2)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,37.0
F[P-](F)(F)(F)(F)F.CN1C=C[N+](CCC2=CC=CC=C2)=C1,103.0
F[P-](F)(F)(F)(F)F.CCCCCCCOC[N+]1=CN(C)C=C1,38.0
F[P-](F)(F)(F)(F)F.CCCCOC[N+]1=CN(COCCC)C=C1,48.0
F[P-](F)(F)(F)(F)F.CCCCCCCCC[N+]1=CN(C)C=C1,14.0
CC1=CC=C(C=C1)S([O-])(=O)=O.CCCCCCCC[N+]1=CN(CC)C=C1,70.0
CN1C=C[N+](CCCC2=CC=CC=C2)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,48.0
F[P-](F)(F)(F)(F)F.CN1C=C[N+](CCCC2=CC=CC=C2)=C1,52.0
F[P-](F)(F)(F)(F)F.CCCCOCN1C=C[N+](COCCCC)=C1,57.0
F[P-](F)(F)(F)(F)F.CCCCCCCC[N+]1=CN(CCC)C=C1,-30.0
[Cl-].CCCCCCCCCC[N+]1=CN(C)C=C1,38.0
CCCCCCCCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,85.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCC[N+]1=CN(C)C=C1,-2.0
CC1=CC=C(C=C1)S([O-])(=O)=O.CCCCCCCCCC[N+]1=CN(C)C=C1,79.0
F[P-](F)(F)(F)(F)F.CCCCCCCCCC[N+]1=CN(C)C=C1,32.0
F[B-](F)(F)F.CCCCCCCCCCC[N+]1=CN(C)C=C1,21.0
[Cl-].CCCCCCCCCCCC[N+]1=CN(C)C=C1,97.0
[Br-].CCCCCCCCCCCC[N+]1=CN(C)C=C1,-5.0
F[B-](F)(F)F.CCCCCCCCCCCC[N+]1=CN(C)C=C1,34.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCC[N+]1=CN(C)C=C1,17.0
[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCC[N+]1=CN(C)C=C1,40.0
F[P-](F)(F)(F)(F)F.CCCCCCCCCCCC[N+]1=CN(C)C=C1,60.0
CCCCCCCCCCCC[N+]1=CN(C)C=C1.FC(F)(F)C1=CC(=CC(=C1)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F,72.0
F[B-](F)(F)F.CCCCCCCCCCCCCN1C=C[N+](C)=C1,49.0
[Cl-].CCCCCCCCCCCCCC[N+]1=CN(C)C=C1,19.0
[Br-].CCCCCCCCCCCCCC[N+]1=CN(C)C=C1,54.0
F[B-](F)(F)F.CCCCCCCCCCCCCC[N+]1=CN(C)C=C1,38.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCC[N+]1=CN(C)C=C1,34.0
[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCC[N+]1=CN(C)C=C1,50.0
F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCC[N+]1=CN(C)C=C1,73.0
F[B-](F)(F)F.CCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,55.0
[Cl-].CCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,42.0
[Br-].CCCCCCCCCCCCCCCC[N+]1=CN(C)C=C1,40.0
