cation_id,anion_id,solute_id,reference_id,T,idac,cation_smiles,anion_smiles,solute_smiles,smiles,temperature,value
"im-4,1",bf4,1-hexene,bahlmann-2009,333.16,27.8,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCC,0.2813125000000003,3.3250360206965914
"im-4,1",bf4,1-hexene,bahlmann-2009,343.22,25.7,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCC,0.3441875000000003,3.246490991901174
"im-4,1",bf4,1-hexene,bahlmann-2009,353.14,23.88,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCC,0.40618750000000003,3.1730412885244013
"im-4,1",bf4,1-heptene,bahlmann-2009,323.16,52.03,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCC,0.2188125000000003,3.9518204753022124
"im-4,1",bf4,1-heptene,bahlmann-2009,333.24,50.31,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCC,0.2818125000000002,3.9182038645032273
"im-4,1",bf4,1-heptene,bahlmann-2009,343.15,46.59,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCC,0.34375,3.8413859258287055
"im-4,1",bf4,1-heptene,bahlmann-2009,353.23,43.2,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCC,0.4067500000000003,3.765840495250065
"im-4,1",bf4,1-octene,bahlmann-2009,323.16,88.59,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCC,0.2188125000000003,4.484018984423941
"im-4,1",bf4,1-octene,bahlmann-2009,333.24,84.75,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCC,0.2818125000000002,4.43970574626056
"im-4,1",bf4,1-octene,bahlmann-2009,343.15,78.78,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,C=CCCCCCC,CCCCn1cc[n+](C)c1.F[B-](F)(F)F.C=CCCCCCC,0.34375,4.36665915754276
