smiles,MP
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,92.7
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,102.3
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,97.2
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,117.7
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,53.6
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30.6
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,38.7
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,51.2
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,46.2
CCCC[N+](C)(C)C.F[B-](F)(F)F,188.8
CCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,133.4
CCCCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,125.8
CCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,169.3
CCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,225.4
CCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,143.9
CCCCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,175.7
CCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,79.9
CCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,139.5
CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,140.8
CCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,150.2
CCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,17.9
CCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,46.7
CCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,7.18
CCCC[N+](C)(C)C.[Br-],212.5
CCCCCC[N+](C)(C)C.[Br-],186.8
CCCCCCCC[N+](C)(C)C.[Br-],215.9
CCCCCCCCCC[N+](C)(C)C.[Br-],235.6
CCCC[N+]1(C)CCC(O)CC1.[Br-],150.5
CCCCCC[N+]1(C)CCC(O)CC1.[Br-],81.0
CCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],102.5
CCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],146.5
CCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],205.0
CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],209.5
CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],212.5
CCC[NH2+]CCC.O=S(=O)([O-])C(F)(F)F,136.0
CC(=O)[O-].CCC[NH2+]CCC,13.0
CCCC[NH2+]CCCC.O=S(=O)([O-])O,130.9
CCCC[NH2+]CCCC.O=S(=O)([O-])C(F)(F)F,140.0
CCCC[NH2+]CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42.6
CCCC[NH2+]CCCC.F[B-](F)(F)F,212.8
CCCC[NH2+]CCCC.O=P([O-])(O)O,98.0
C[NH+](C)C.O=S(=O)([O-])C(F)(F)F,150.0
C[NH+](C)C.O=[N+]([O-])[O-],155.0
CC[NH+](CC)CC.O=S(=O)([O-])O,84.2
CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,32.0
CC[NH+](CC)CC.F[B-](F)(F)F,104.3
CC[NH+](CC)CC.O=[N+]([O-])[O-],115.0
CC[NH+](CC)CC.[Br-],239.0
CC[NH+](CC)CC.[Cl-],244.0
CCC[NH+](CCC)CCC.O=S(=O)([O-])O,92.0
CCC[NH+](CCC)CCC.O=S(=O)([O-])C(F)(F)F,160.0
CCC[NH+](CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,49.0
CCC[NH+](CCC)CCC.F[B-](F)(F)F,25.0
CCCC[NH+](CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,128.0
CCCC[NH+](CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,40.0
OCC[NH+](CCO)CCO.[F-],67.0
O=C([O-])CC(=O)O.OCC[NH+](CCO)CCO,85.0
OCC[NH+](CCO)CCO.[Br-],180.0
OCC[NH+](CCO)CCO.[I-],125.0
Cn1cc[nH+]c1.[Cl-],72.0
Cn1cc[nH+]c1.[Br-],41.0
Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],157.0
Cn1cc[nH+]c1.F[B-](F)(F)F,37.0
Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9.0
Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,11.0
Cn1cc[nH+]c1.O=[N+]([O-])[O-],70.0
