cation,anion
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCC[N+](C)(C)C,F[B-](F)(F)F
CCCCCCCC[N+](C)(C)C,F[B-](F)(F)F
CCCCCCCCCC[N+](C)(C)C,F[B-](F)(F)F
CCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F
CCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F
CCCCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F
CCCCCCCCCC[N+](C)(C)C,F[P-](F)(F)(F)(F)F
CCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F
CCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F
CCCCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F
CCCCCCCCCC[N+](C)(C)C,O=S(=O)([O-])C(F)(F)F
CCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F
CCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F
CCCCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F
CCCCCCCCCC[N+](C)(C)C,O=S(=O)(F)[N-]S(=O)(=O)F
CCCC[N+](C)(C)C,[Br-]
CCCCCC[N+](C)(C)C,[Br-]
CCCCCCCC[N+](C)(C)C,[Br-]
CCCCCCCCCC[N+](C)(C)C,[Br-]
CC[N+]1(C)CCC(O)CC1,[Br-]
CCCC[N+]1(C)CCC(O)CC1,[Br-]
CCCCCC[N+]1(C)CCC(O)CC1,[Br-]
CCCCCCCC[N+]1(C)CCC(O)CC1,[Br-]
CCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-]
CCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-]
CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-]
CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1,[Br-]
CCC[NH2+]CCC,O=S(=O)([O-])C(F)(F)F
CCC[NH2+]CCC,O=C[O-]
CCC[NH2+]CCC,CC(=O)[O-]
CCC[NH2+]CCC,[Br-]
CCCC[NH2+]CCCC,O=S(=O)([O-])O
CCCC[NH2+]CCCC,O=S(=O)([O-])C(F)(F)F
CCCC[NH2+]CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCC[NH2+]CCCC,F[B-](F)(F)F
CCCC[NH2+]CCCC,O=P([O-])(O)O
CCCC[NH2+]CCCC,[Br-]
C[NH+](C)C,O=S(=O)([O-])C(F)(F)F
C[NH+](C)C,O=[N+]([O-])[O-]
CC[NH+](CC)CC,O=S(=O)([O-])O
CC[NH+](CC)CC,O=S(=O)([O-])C(F)(F)F
CC[NH+](CC)CC,CC(=O)[O-]
CC[NH+](CC)CC,F[B-](F)(F)F
CC[NH+](CC)CC,O=[N+]([O-])[O-]
CC[NH+](CC)CC,[Br-]
CC[NH+](CC)CC,[Cl-]
CCC[NH+](CCC)CCC,O=S(=O)([O-])O
CCC[NH+](CCC)CCC,O=S(=O)([O-])C(F)(F)F
CCC[NH+](CCC)CCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCC[NH+](CCC)CCC,F[B-](F)(F)F
CCCC[NH+](CCCC)CCCC,O=S(=O)([O-])C(F)(F)F
CCCC[NH+](CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
OCC[NH+](CCO)CCO,[F-]
OCC[NH+](CCO)CCO,O=C([O-])CC(=O)O
OCC[NH+](CCO)CCO,[Br-]
OCC[NH+](CCO)CCO,[I-]
Cn1cc[nH+]c1,[Cl-]
Cn1cc[nH+]c1,[Br-]
Cn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-]
Cn1cc[nH+]c1,F[B-](F)(F)F
Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
Cn1cc[nH+]c1,O=[N+]([O-])[O-]
Cn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F
Cn1cc[nH+]c1,F[P-](F)(F)(F)(F)F
Cn1cc[nH+]c1,O=C([O-])C(F)(F)F
Cn1cc[nH+]c1,CC(=O)[O-]
CCn1cc[nH+]c1,[Cl-]
CCn1cc[nH+]c1,[Br-]
CCn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-]
CCn1cc[nH+]c1,O=[N+]([O-])[O-]
CCn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F
Cn1cc[n+](C)c1,[Cl-]
Cn1cc[n+](C)c1,F[B-](F)(F)F
Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
Cn1cc[n+](C)c1,O=C([O-])C(F)(F)F
Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)F
Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Cc1[nH+]ccn1C,[Cl-]
Cc1[nH+]ccn1C,[Br-]
Cc1[nH+]ccn1C,[O-][Cl+3]([O-])([O-])[O-]
Cc1[nH+]ccn1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
Cc1[nH+]ccn1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
Cc1[nH+]ccn1C,O=[N+]([O-])[O-]
Cc1[nH+]ccn1C,O=S(=O)([O-])C(F)(F)F
Cc1[nH+]ccn1C,F[P-](F)(F)(F)(F)F
CC[n+]1ccn(C)c1,[Cl-]
CC[n+]1ccn(C)c1,[I-]
CC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,CCC[B-](F)(F)F
CC[n+]1ccn(C)c1,CCCC[B-](F)(F)F
CC[n+]1ccn(C)c1,CCCCC[B-](F)(F)F
CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,N#C[N-]C#N
CC[n+]1ccn(C)c1,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC[n+]1ccn(C)c1,O=N[O-]
CC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
CC[n+]1ccn(C)c1,O=S(=O)(F)[N-]S(=O)(=O)F
CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F
CC[n+]1ccn(C)c1,COS(=O)(=O)[O-]
CC[n+]1ccn(C)c1,O=S(=O)([O-])OC(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
CC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F
CC[n+]1ccn(C)c1,CC(=O)[O-]
CC[n+]1ccn(C)c1,O=C([O-])c1ccccc1C(=O)O
CC[n+]1ccn(C)c1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
CC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
CC[n+]1ccn(C)c1,Cl[Al-](Cl)(Cl)Cl
CC[n+]1ccn(C)c1,N#C[S-]
CCn1cc[nH+]c1C,[Cl-]
CCn1cc[nH+]c1C,[Br-]
CCn1cc[nH+]c1C,[O-][Cl+3]([O-])([O-])[O-]
CCn1cc[nH+]c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
CCn1cc[nH+]c1C,O=[N+]([O-])[O-]
CCn1cc[nH+]c1C,O=S(=O)([O-])C(F)(F)F
Cn1cc[n+](CC(F)(F)F)c1,O=S(=O)([O-])C(F)(F)F
CCn1cc[n+](CC)c1,O=S(=O)([O-])C(F)(F)F
CCC[n+]1ccn(C)c1,[Cl-]
CCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)F
CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CC(C)[n+]1ccn(C)c1,[I-]
CC(C)[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CC(C)[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
COCC[n+]1ccn(C)c1,[Cl-]
COCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)F
COCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
COCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
COCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
CCCC[n+]1ccn(C)c1,C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1
CCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([B-](c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1
CCCC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
CCCC[n+]1ccn(C)c1,CC(CC#N)[B-](F)(F)F
CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCC[n+]1ccn(C)c1,N#C[N-]C#N
CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCC[n+]1ccn(C)c1,CCCCCOS(=O)(=O)[O-]
CCCC[n+]1ccn(C)c1,O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F
CCCC[n+]1ccn(C)c1,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F
CCCC[n+]1ccn(C)c1,CC(=O)[O-]
CCCC[n+]1ccn(C)c1,Cl[Al-](Cl)(Cl)Cl
CCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
CCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCC[n+]1ccn(C)c1,O=C1[N-]S(=O)(=O)c2ccccc21
CCCC[n+]1ccn(CC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCC[n+]1ccn(CC)c1,O=S(=O)([O-])C(F)(F)F
CCCC[n+]1ccn(CC)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCC[n+]1ccn(CC)c1,O=C([O-])C(F)(F)F
CCCCCC[n+]1ccn(C)c1,[Cl-]
CCCCCC[n+]1ccn(C)c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
