Abbreviation	SMILES
im-3ph,1	C[n+]1ccn(CCCc2ccccc2)c1
im-1ph,1ph	C(c1ccccc1)n1cc[n+](Cc2ccccc2)c1
im-2oh,1	C[n+]1ccn(CCO)c1
im-2oh,1,1	Cc1n(CCO)cc[n+]1C
im-3oh,1	C[n+]1ccn(CCCO)c1
im-3oh,2	CC[n+]1ccn(CCCO)c1
im-3oh[2],1	C[C@H](O)Cn1cc[n+](C)c1
im-6oh,1	C[n+]1ccn(CCCCCCO)c1
im-6oh,2	CC[n+]1ccn(CCCCCCO)c1
im-6oh,4	CCCC[n+]1ccn(CCCCCCO)c1
im-8oh,1	C[n+]1ccn(CCCCCCCCO)c1
im-1o6,1	CCCCCCOC[n+]1ccn(C)c1
im-1o3,1o3	CCCOCn1cc[n+](COCCC)c1
im-1o4,1o4	CCCCOCn1cc[n+](COCCCC)c1
im-1o5,1o5	CCCCCOCn1cc[n+](COCCCCC)c1
im-1o6,1o6	CCCCCCOCn1cc[n+](COCCCCCC)c1
im-1o7,1o7	CCCCCCCOCn1cc[n+](COCCCCCCC)c1
im-1o8,1o8	CCCCCCCCOCn1cc[n+](COCCCCCCCC)c1
im-1o1,1	COCn1cc[n+](C)c1
im-1o1,2	CC[n+]1ccn(COC)c1
im-1o1,3	CCC[n+]1ccn(COC)c1
im-1o1,4	CCCC[n+]1ccn(COC)c1
im-1o2,1	CCOCn1cc[n+](C)c1
im-1o2,2	CCOCn1cc[n+](CC)c1
im-1o2,3	CCC[n+]1ccn(COCC)c1
im-1o2,4	CCCC[n+]1ccn(COCC)c1
im-2o1,1	COCC[n+]1ccn(C)c1
im-2o1,2	CC[n+]1ccn(CCOC)c1
im-2o1,3	CCC[n+]1ccn(CCOC)c1
im-2o1,4	CCCC[n+]1ccn(CCOC)c1
im-2o2,1	CCOCCn1cc[n+](C)c1
im-2o2,2	CCOCCn1cc[n+](CC)c1
im-2o2,3	CCC[n+]1ccn(CCOCC)c1
im-2o2,4	CCCC[n+]1ccn(CCOCC)c1
im-[2o]21,1	COCCOCCn1cc[n+](C)c1
im-[2o]31,1	COCCOCCOCCn1cc[n+](C)c1
im-2o1,1o1	COCCn1cc[n+](COC)c1
im-2o1,2o1	COCCn1cc[n+](CCOC)c1
im-2o1,1o2	CCOCn1cc[n+](CCOC)c1
im-2o2,1o1	CCOCC[n+]1ccn(COC)c1
im-2o2,1o2	CCOCC[n+]1ccn(COCC)c1
im-2o2,2o1	CCOCC[n+]1ccn(CCOC)c1
im-2o2,2o2	CCOCCn1cc[n+](CCOCC)c1
im-2o1,1,1	COCC[n+]1ccn(C)c1C
im-2o1,1,2	CCc1n(C)cc[n+]1CCOC
im-2o1,2,1	CCn1cc[n+](CCOC)c1C
im-2o1,2,2	CCc1n(CC)cc[n+]1CCOC
im-2o1,3,1	CCCn1cc[n+](CCOC)c1C
im-2o1,3,2	CCCn1cc[n+](CCOC)c1CC
im-2o1,4,1	CCCCn1cc[n+](CCOC)c1C
im-2o1,4,2	CCCCn1cc[n+](CCOC)c1CC
im-2o1,5,1	CCCCCn1cc[n+](CCOC)c1C
im-2o1,5,2	CCCCCn1cc[n+](CCOC)c1CC
im-2o2,1,1	CCOCC[n+]1ccn(C)c1C
im-2o2,1,2	CCOCC[n+]1ccn(C)c1CC
im-2o2,2,1	CCOCC[n+]1ccn(CC)c1C
im-2o2,2,2	CCOCC[n+]1ccn(CC)c1CC
im-2o2,3,1	CCCn1cc[n+](CCOCC)c1C
im-2o2,3,2	CCCn1cc[n+](CCOCC)c1CC
im-2o2,4,1	CCCCn1cc[n+](CCOCC)c1C
im-2o2,4,2	CCCCn1cc[n+](CCOCC)c1CC
im-2o2,5,1	CCCCCn1cc[n+](CCOCC)c1C
im-2o2,5,2	CCCCCn1cc[n+](CCOCC)c1CC
im-2o1,2o1,2	CCc1n(CCOC)cc[n+]1CCOC
im-2o2,2o1,1	CCOCC[n+]1ccn(CCOC)c1C
im-2o2,2o1,2	CCOCC[n+]1ccn(CCOC)c1CC
im-2o2,2o2,1	CCOCCn1cc[n+](CCOCC)c1C
im-2o2,2o2,2	CCOCCn1cc[n+](CCOCC)c1CC
im-3o1,2o1,1	COCCCn1cc[n+](CCOC)c1C
im-3o1,2o1,2	CCc1n(CCCOC)cc[n+]1CCOC
im-3o1,2o2,1	CCOCC[n+]1ccn(CCCOC)c1C
im-3o1,2o2,2	CCOCC[n+]1ccn(CCCOC)c1CC
im-2o2oh,1	C[n+]1ccn(CCOCCO)c1
im-3,1,1o4	CCCCOCc1n(C)cc[n+]1CCC
im-1,1,1o2	CCOCc1n(C)cc[n+]1C
im-1,1,1o3	CCCOCc1n(C)cc[n+]1C
im-2,1,1o2	CCOCc1n(C)cc[n+]1CC
im-2,1,1o3	CCCOCc1n(CC)cc[n+]1C
im-2,2,1o2	CCOCc1n(CC)cc[n+]1CC
im-2,2,1o3	CCCOCc1n(CC)cc[n+]1CC
im-2o1,1,1o2	CCOCc1n(C)cc[n+]1CCOC
im-2o1,1,1o3	CCCOCc1n(C)cc[n+]1CCOC
im-2o1,2,1o2	CCOCc1n(CC)cc[n+]1CCOC
im-2o1,2,1o3	CCCOCc1n(CC)cc[n+]1CCOC
im-2o2,1,1o2	CCOCC[n+]1ccn(C)c1COCC
im-2o2,1,1o3	CCCOCc1n(C)cc[n+]1CCOCC
im-2o2,2,1o2	CCOCC[n+]1ccn(CC)c1COCC
