Cation	Anion	Cationic family	Anionic family	T / K	η / mPa s
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,15	160,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	303,15	123,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	308,15	94,90
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	313,15	74,50
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	318,15	59,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	323,15	47,70
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	328,15	39,10
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	333,15	32,50
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	338,15	27,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	343,15	23,20
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	348,15	20,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	353,15	17,10
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	358,15	15,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	363,15	13,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	368,15	11,90
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,00	160,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	290,15	221,80
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	295,95	154,70
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	301,55	111,70
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	307,15	82,89
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	312,75	63,33
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	318,35	49,58
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	323,95	39,71
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	329,65	32,21
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	335,25	26,52
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	340,85	22,40
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	346,35	18,92
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	352,05	16,18
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	357,65	14,04
azp-2o1,1	otf	azepanium	sulfonates	298,10	797,50
azp-2o1,1	otf	azepanium	sulfonates	303,10	579,70
azp-2o1,1	otf	azepanium	sulfonates	308,10	418,50
azp-2o1,1	otf	azepanium	sulfonates	313,10	305,80
azp-2o1,1	otf	azepanium	sulfonates	318,10	227,10
azp-2o1,1	otf	azepanium	sulfonates	323,10	171,70
azp-2o1,1	otf	azepanium	sulfonates	328,10	132,40
azp-2o1,1	otf	azepanium	sulfonates	333,10	103,70
azp-2o1,1	otf	azepanium	sulfonates	338,10	83,10
azp-2o1,1	otf	azepanium	sulfonates	343,10	67,10
azp-2o1,1	otf	azepanium	sulfonates	348,10	55,10
azp-2o1,1	otf	azepanium	sulfonates	353,10	45,70
azp-2o1,1	otf	azepanium	sulfonates	358,10	37,90
azp-2o1,1	otf	azepanium	sulfonates	363,10	31,60
azp-2o1,1	otf	azepanium	sulfonates	368,10	26,50
azp-2o1,1	otf	azepanium	sulfonates	298,00	798,00
azp-2o1,1	tfa	azepanium	carboxylates	298,10	576,90
azp-2o1,1	tfa	azepanium	carboxylates	303,10	403,40
azp-2o1,1	tfa	azepanium	carboxylates	308,10	285,10
azp-2o1,1	tfa	azepanium	carboxylates	313,10	206,30
azp-2o1,1	tfa	azepanium	carboxylates	318,10	152,20
azp-2o1,1	tfa	azepanium	carboxylates	323,10	114,40
azp-2o1,1	tfa	azepanium	carboxylates	328,10	87,70
azp-2o1,1	tfa	azepanium	carboxylates	333,10	68,20
azp-2o1,1	tfa	azepanium	carboxylates	338,10	54,10
azp-2o1,1	tfa	azepanium	carboxylates	343,10	43,60
azp-2o1,1	tfa	azepanium	carboxylates	348,10	35,80
azp-2o1,1	tfa	azepanium	carboxylates	353,10	29,60
azp-2o1,1	tfa	azepanium	carboxylates	358,10	24,80
azp-2o1,1	tfa	azepanium	carboxylates	363,10	21,00
azp-2o1,1	tfa	azepanium	carboxylates	368,10	17,80
azp-2o1,1	tfa	azepanium	carboxylates	298,00	577,00
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	292,05	206,50
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	298,05	136,90
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	304,05	95,23
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	309,95	68,33
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	315,85	51,02
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	321,75	39,23
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	327,65	31,10
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	333,65	25,12
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	339,55	20,61
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	345,45	17,07
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	351,35	14,32
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	357,35	12,20
azp-4,1	ntf2	azepanium	NTf2 derivatives	298,00	315,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	298,10	315,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	303,10	233,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	308,10	172,60
azp-4,1	ntf2	azepanium	NTf2 derivatives	313,10	130,20
azp-4,1	ntf2	azepanium	NTf2 derivatives	318,10	100,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	323,10	77,90
azp-4,1	ntf2	azepanium	NTf2 derivatives	328,10	61,50
azp-4,1	ntf2	azepanium	NTf2 derivatives	333,10	49,40
azp-4,1	ntf2	azepanium	NTf2 derivatives	338,10	40,10
azp-4,1	ntf2	azepanium	NTf2 derivatives	343,10	32,90
azp-4,1	ntf2	azepanium	NTf2 derivatives	348,10	27,40
azp-4,1	ntf2	azepanium	NTf2 derivatives	353,10	23,10
azp-4,1	ntf2	azepanium	NTf2 derivatives	358,10	19,80
azp-4,1	ntf2	azepanium	NTf2 derivatives	363,10	17,20
azp-4,1	ntf2	azepanium	NTf2 derivatives	368,10	14,90
azp-4,1	ntf2	azepanium	NTf2 derivatives	290,15	561,30
azp-4,1	ntf2	azepanium	NTf2 derivatives	295,95	361,70
azp-4,1	ntf2	azepanium	NTf2 derivatives	301,55	243,60
azp-4,1	ntf2	azepanium	NTf2 derivatives	307,15	170,70
azp-4,1	ntf2	azepanium	NTf2 derivatives	312,75	124,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	318,35	92,44
azp-4,1	ntf2	azepanium	NTf2 derivatives	323,95	70,83
azp-4,1	ntf2	azepanium	NTf2 derivatives	329,65	55,15
azp-4,1	ntf2	azepanium	NTf2 derivatives	335,25	43,97
azp-4,1	ntf2	azepanium	NTf2 derivatives	340,85	35,50
azp-4,1	ntf2	azepanium	NTf2 derivatives	346,35	29,05
azp-4,1	ntf2	azepanium	NTf2 derivatives	352,05	24,21
azp-4,1	ntf2	azepanium	NTf2 derivatives	357,65	20,29
azp-6,1	ntf2	azepanium	NTf2 derivatives	298,00	358,00
azp-6,1	ntf2	azepanium	NTf2 derivatives	298,10	358,00
azp-6,1	ntf2	azepanium	NTf2 derivatives	303,10	259,30
azp-6,1	ntf2	azepanium	NTf2 derivatives	308,10	190,10
azp-6,1	ntf2	azepanium	NTf2 derivatives	313,10	143,00
azp-6,1	ntf2	azepanium	NTf2 derivatives	318,10	109,40
azp-6,1	ntf2	azepanium	NTf2 derivatives	323,10	84,90
azp-6,1	ntf2	azepanium	NTf2 derivatives	328,10	67,10
azp-6,1	ntf2	azepanium	NTf2 derivatives	333,10	53,80
azp-6,1	ntf2	azepanium	NTf2 derivatives	338,10	43,50
azp-6,1	ntf2	azepanium	NTf2 derivatives	343,10	35,70
azp-6,1	ntf2	azepanium	NTf2 derivatives	348,10	29,60
azp-6,1	ntf2	azepanium	NTf2 derivatives	353,10	24,80
azp-6,1	ntf2	azepanium	NTf2 derivatives	358,10	21,00
azp-6,1	ntf2	azepanium	NTf2 derivatives	363,10	18,00
azp-6,1	ntf2	azepanium	NTf2 derivatives	368,10	15,70
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	298,10	136,50
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	303,10	105,90
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	308,10	82,00
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	313,10	65,10
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	318,10	52,00
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	323,10	42,30
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	328,10	34,80
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	333,10	29,00
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	338,10	24,30
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	343,10	20,70
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	348,10	17,80
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	353,10	15,50
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	358,10	13,60
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	363,10	12,10
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	368,10	10,70
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	292,15	185,00
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	298,35	125,90
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	304,65	89,44
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	310,85	65,90
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	317,15	49,85
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	323,35	38,45
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	329,65	30,28
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	335,85	24,33
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	342,05	19,96
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	348,35	16,65
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	354,55	14,18
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	360,75	12,24
azp-[2o]21,1	ntf2	azepanium	NTf2 derivatives	366,95	10,64
azp-[2o]21,1	otf	azepanium	sulfonates	298,10	471,20
azp-[2o]21,1	otf	azepanium	sulfonates	303,10	341,70
azp-[2o]21,1	otf	azepanium	sulfonates	308,10	249,50
azp-[2o]21,1	otf	azepanium	sulfonates	313,10	186,30
azp-[2o]21,1	otf	azepanium	sulfonates	318,10	141,50
azp-[2o]21,1	otf	azepanium	sulfonates	323,10	109,70
azp-[2o]21,1	otf	azepanium	sulfonates	328,10	86,40
azp-[2o]21,1	otf	azepanium	sulfonates	333,10	69,30
azp-[2o]21,1	otf	azepanium	sulfonates	338,10	56,00
azp-[2o]21,1	otf	azepanium	sulfonates	343,10	45,90
azp-[2o]21,1	otf	azepanium	sulfonates	348,10	38,10
azp-[2o]21,1	otf	azepanium	sulfonates	353,10	31,90
azp-[2o]21,1	otf	azepanium	sulfonates	358,10	27,00
azp-[2o]21,1	otf	azepanium	sulfonates	363,10	23,10
azp-[2o]21,1	otf	azepanium	sulfonates	368,10	20,00
azp-[2o]21,1	tfa	azepanium	carboxylates	298,10	429,30
azp-[2o]21,1	tfa	azepanium	carboxylates	303,10	309,40
azp-[2o]21,1	tfa	azepanium	carboxylates	308,10	224,30
azp-[2o]21,1	tfa	azepanium	carboxylates	313,10	165,60
azp-[2o]21,1	tfa	azepanium	carboxylates	318,10	124,80
azp-[2o]21,1	tfa	azepanium	carboxylates	323,10	95,70
azp-[2o]21,1	tfa	azepanium	carboxylates	328,10	74,40
azp-[2o]21,1	tfa	azepanium	carboxylates	333,10	58,70
azp-[2o]21,1	tfa	azepanium	carboxylates	338,10	46,70
azp-[2o]21,1	tfa	azepanium	carboxylates	343,10	37,90
azp-[2o]21,1	tfa	azepanium	carboxylates	348,10	31,10
azp-[2o]21,1	tfa	azepanium	carboxylates	353,10	26,10
azp-[2o]21,1	tfa	azepanium	carboxylates	358,10	22,30
azp-[2o]21,1	tfa	azepanium	carboxylates	363,10	19,40
azp-[2o]21,1	tfa	azepanium	carboxylates	368,10	16,90
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	289,55	395,30
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	294,95	264,30
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	300,25	183,10
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	305,55	131,30
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	310,85	97,02
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	316,15	73,76
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	321,35	57,65
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	326,75	45,96
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	332,05	37,11
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	337,35	30,31
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	342,55	25,00
azp-[2o]21,[2o]21	ntf2	azepanium	NTf2 derivatives	347,95	21,39
bim-4,2	h2po4	imidazolium	phosphates	313,15	794,75
bim-4,2	h2po4	imidazolium	phosphates	323,15	433,94
bim-4,2	h2po4	imidazolium	phosphates	333,15	255,53
bim-4,2	h2po4	imidazolium	phosphates	343,15	160,14
bim-4,2	h2po4	imidazolium	phosphates	353,15	105,70
bim-4,2	h2po4	imidazolium	phosphates	363,15	72,88
bim-4,2	h2po4	imidazolium	phosphates	373,15	52,16
bthz-s2[2]	po2-o2,o2	thiazolium	phosphates	298,15	54,70
cap-1,o2	ntf2	cyclic amidium	NTf2 derivatives	323,20	26,90
cap-1,o2	otf	cyclic amidium	sulfonates	323,20	58,50
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	298,15	47,10
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	303,15	38,00
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	308,15	31,20
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	313,15	26,00
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	318,15	21,90
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	323,15	18,70
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	328,15	16,20
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	333,15	14,10
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	338,15	12,50
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	343,15	11,10
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	348,15	9,88
cguad-(2,1),1,1	ntf2	guanidinium	NTf2 derivatives	353,15	8,90
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	298,15	46,20
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	303,15	37,40
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	308,15	30,90
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	313,15	25,80
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	318,15	21,80
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	323,15	18,70
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	328,15	16,10
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	333,15	14,10
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	338,15	12,40
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	343,15	10,90
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	348,15	9,76
cguad-(2,2),1,1	ntf2	guanidinium	NTf2 derivatives	353,15	8,76
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	298,15	54,10
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	303,15	43,40
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	308,15	35,40
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	313,15	29,30
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	318,15	24,60
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	323,15	20,90
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	328,15	17,90
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	333,15	15,50
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	338,15	13,50
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	343,15	11,90
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	348,15	10,50
cguad-(3,1),1,1	ntf2	guanidinium	NTf2 derivatives	353,15	9,41
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	293,00	554,00
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	303,00	291,00
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	313,00	163,00
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	323,00	97,50
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	333,00	62,30
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	343,00	41,60
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	353,00	28,90
cprop-(n-10,10),(n-10,10),(n-10,10)	dca	cyclopropanium	dicyanamides	363,00	20,80
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	293,15	407,60
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	303,15	226,80
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	313,15	132,30
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	323,15	84,60
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	333,15	56,00
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	343,15	38,40
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	353,15	27,20
cprop-(n-10,10),(n-10,10),(n-10,10)	ntf2	cyclopropanium	NTf2 derivatives	363,15	20,00
cprop-(n-2,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	343,15	13,60
cprop-(n-2,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	353,15	10,60
cprop-(n-2,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	363,15	8,58
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	293,15	72,50
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	303,15	45,80
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	313,15	31,30
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	323,15	22,00
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	333,15	16,20
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	343,15	12,20
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	353,15	9,45
cprop-(n-2,1),(n-2,1),(n-2,1)	ntf2	cyclopropanium	NTf2 derivatives	363,15	7,46
cprop-(n-2,2),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	323,15	25,10
cprop-(n-2,2),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	333,15	18,20
cprop-(n-2,2),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	343,15	13,50
cprop-(n-2,2),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	353,15	10,50
cprop-(n-2,2),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	363,15	8,17
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	293,00	58,40
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	303,00	37,10
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	313,00	25,40
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	323,00	17,90
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	333,00	13,20
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	343,00	10,00
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	353,00	7,94
cprop-(n-2,2),(n-2,2),(n-1,1)	dca	cyclopropanium	dicyanamides	363,00	6,40
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	293,15	83,60
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	303,15	52,40
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	313,15	35,20
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	323,15	24,70
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	333,15	17,90
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	343,15	13,40
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	353,15	10,30
cprop-(n-2,2),(n-2,2),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	363,15	8,15
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	293,00	64,20
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	303,00	41,90
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	313,00	28,30
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	323,00	19,90
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	333,00	14,60
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	343,00	11,40
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	353,00	8,90
cprop-(n-2,2),(n-2,2),(n-2,2)	dca	cyclopropanium	dicyanamides	363,00	7,10
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	293,15	94,70
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	303,15	60,50
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	313,15	40,00
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	323,15	27,50
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	333,15	19,60
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	343,15	15,00
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	353,15	11,50
cprop-(n-2,2),(n-2,2),(n-2,2)	ntf2	cyclopropanium	NTf2 derivatives	363,15	9,04
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	293,00	107,30
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	303,00	61,30
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	313,00	38,20
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	323,00	25,10
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	333,00	17,50
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	343,00	12,80
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	353,00	10,10
cprop-(n-3,1),(n-1,1),(n-1,1)	dca	cyclopropanium	dicyanamides	363,00	8,02
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	293,15	72,50
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	303,15	45,20
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	313,15	29,60
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	323,15	20,00
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	333,15	14,60
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	343,15	11,20
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	353,15	8,68
cprop-(n-3,1),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	363,15	6,90
cprop-(n-3,3),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	323,15	28,90
cprop-(n-3,3),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	333,15	19,80
cprop-(n-3,3),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	343,15	14,70
cprop-(n-3,3),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	353,15	11,00
cprop-(n-3,3),(n-1,1),(n-1,1)	ntf2	cyclopropanium	NTf2 derivatives	363,15	8,63
cprop-(n-3,3),(n-3,3),(n-3,3)	dca	cyclopropanium	dicyanamides	333,00	14,60
cprop-(n-3,3),(n-3,3),(n-3,3)	dca	cyclopropanium	dicyanamides	343,00	10,20
cprop-(n-3,3),(n-3,3),(n-3,3)	dca	cyclopropanium	dicyanamides	353,00	7,50
cprop-(n-3,3),(n-3,3),(n-3,3)	dca	cyclopropanium	dicyanamides	363,00	5,70
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	293,15	219,70
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	303,15	127,10
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	313,15	78,30
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	323,15	50,10
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	333,15	32,30
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	343,15	22,60
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	353,15	16,60
cprop-(n-3,3),(n-3,3),(n-3,3)	ntf2	cyclopropanium	NTf2 derivatives	363,15	12,60
