Cation	Anion	Cationic family	Anionic family	T / K	σ / mN/m
im-3nhconh4,1	ntf2	imidazolium	bistriflamide derivatives	318,15	30,50
im-3nhconh4,1	ntf2	imidazolium	bistriflamide derivatives	323,15	30,30
im-3nhconh4,1	ntf2	imidazolium	bistriflamide derivatives	328,15	29,80
im-3nhconh4,1	ntf2	imidazolium	bistriflamide derivatives	333,15	29,40
im-3nhconh4,1	ntf2	imidazolium	bistriflamide derivatives	338,15	29,00
im-4,1,(im-1)	dca	imidazolium	dicyanamides	296,15	35,80
im-4,1,1	dca	imidazolium	dicyanamides	296,15	48,90
im-4,1,1	hso4	imidazolium	sulfates	288,15	45,30
im-4,1,1	hso4	imidazolium	sulfates	293,15	45,00
im-4,1,1	hso4	imidazolium	sulfates	298,15	44,80
im-4,1,1	hso4	imidazolium	sulfates	303,15	44,50
im-4,1,1	hso4	imidazolium	sulfates	308,15	44,20
im-4,1,1	hso4	imidazolium	sulfates	313,15	43,90
im-4,1,1	hso4	imidazolium	sulfates	318,15	43,70
im-4,1,1	hso4	imidazolium	sulfates	323,15	43,40
im-4,1,1	hso4	imidazolium	sulfates	328,15	43,10
im-4,1,1	hso4	imidazolium	sulfates	333,15	42,80
im-4,1,1	hso4	imidazolium	sulfates	338,15	42,60
im-4,1,1	hso4	imidazolium	sulfates	343,15	42,30
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	293,15	26,66
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	293,15	37,40
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	303,15	35,54
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	313,15	33,83
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	323,15	32,20
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	333,15	30,49
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	343,15	28,74
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	298,15	38,21
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	298,20	34,50
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	330,00	32,70
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	298,15	32,50
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	303,15	32,20
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	308,15	32,00
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	313,15	31,80
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	318,15	31,60
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	323,15	31,40
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	328,15	31,20
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	333,15	31,00
im-4,1,1	ntf2	imidazolium	bistriflamide derivatives	338,15	30,70
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	303,15	44,80
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	313,15	44,07
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	323,15	43,52
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	333,15	42,68
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	343,15	42,02
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	353,15	41,37
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	298,17	44,42
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	313,07	43,73
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	323,27	43,16
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	333,13	42,60
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	338,38	42,38
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	343,51	42,13
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	348,43	41,89
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	353,08	41,68
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	358,76	41,41
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	364,84	41,11
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	323,02	43,24
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	327,60	42,96
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	333,18	42,58
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	338,24	42,24
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	343,75	41,89
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	348,09	41,63
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	353,61	41,30
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	358,09	40,94
im-4,1,1	pf6	imidazolium	hexafluorophosphate derivatives	364,84	40,51
im-4,1	1ac	imidazolium	carboxylates	298,15	36,20
im-4,1	1ac	imidazolium	carboxylates	303,15	35,80
im-4,1	1ac	imidazolium	carboxylates	313,15	35,40
im-4,1	1ac	imidazolium	carboxylates	323,15	35,10
im-4,1	1ac	imidazolium	carboxylates	333,15	34,80
im-4,1	1ac	imidazolium	carboxylates	343,15	34,40
im-4,1	2ac	imidazolium	carboxylates	298,15	34,30
im-4,1	2ac	imidazolium	carboxylates	303,15	33,90
im-4,1	2ac	imidazolium	carboxylates	313,15	33,20
im-4,1	2ac	imidazolium	carboxylates	323,15	32,80
im-4,1	2ac	imidazolium	carboxylates	333,15	32,10
im-4,1	2ac	imidazolium	carboxylates	343,15	31,60
im-4,1	6ac	imidazolium	carboxylates	296,70	25,20
im-4,1	ac	imidazolium	carboxylates	298,00	36,40
im-4,1	ac	imidazolium	carboxylates	307,80	35,90
im-4,1	ac	imidazolium	carboxylates	318,00	35,50
im-4,1	ac	imidazolium	carboxylates	328,60	35,10
im-4,1	ac	imidazolium	carboxylates	339,00	34,70
im-4,1	ac	imidazolium	carboxylates	343,50	34,40
im-4,1	ac	imidazolium	carboxylates	298,15	35,20
im-4,1	ac	imidazolium	carboxylates	303,15	34,90
im-4,1	ac	imidazolium	carboxylates	308,15	34,60
im-4,1	ac	imidazolium	carboxylates	313,15	34,20
im-4,1	ac	imidazolium	carboxylates	318,15	33,90
im-4,1	ac	imidazolium	carboxylates	323,15	33,30
im-4,1	ac	imidazolium	carboxylates	328,15	32,80
im-4,1	ac	imidazolium	carboxylates	333,15	32,60
im-4,1	ac	imidazolium	carboxylates	338,15	32,20
im-4,1	ac	imidazolium	carboxylates	293,20	37,87
im-4,1	ac	imidazolium	carboxylates	298,20	37,61
im-4,1	ac	imidazolium	carboxylates	303,20	37,36
im-4,1	ac	imidazolium	carboxylates	308,20	37,11
im-4,1	ac	imidazolium	carboxylates	313,20	36,88
im-4,1	ac	imidazolium	carboxylates	318,20	36,63
im-4,1	ac	imidazolium	carboxylates	323,20	36,42
im-4,1	ac	imidazolium	carboxylates	328,20	36,20
im-4,1	ac	imidazolium	carboxylates	298,15	39,20
im-4,1	ac	imidazolium	carboxylates	303,15	39,00
im-4,1	ac	imidazolium	carboxylates	313,15	38,70
im-4,1	ac	imidazolium	carboxylates	323,15	38,30
im-4,1	ac	imidazolium	carboxylates	333,15	38,10
im-4,1	ac	imidazolium	carboxylates	343,15	37,70
im-4,1	ac	imidazolium	carboxylates	298,15	39,20
im-4,1	ac	imidazolium	carboxylates	303,15	39,00
im-4,1	ac	imidazolium	carboxylates	313,15	38,70
im-4,1	ac	imidazolium	carboxylates	323,15	38,30
im-4,1	ac	imidazolium	carboxylates	333,15	38,10
im-4,1	ac	imidazolium	carboxylates	343,15	37,70
im-4,1	ala	imidazolium	aminoacids	298,15	46,10
im-4,1	alcl4	imidazolium	metal complexes	278,20	47,00
im-4,1	alcl4	imidazolium	metal complexes	283,20	46,70
im-4,1	alcl4	imidazolium	metal complexes	288,20	46,20
im-4,1	alcl4	imidazolium	metal complexes	293,20	45,90
im-4,1	alcl4	imidazolium	metal complexes	298,20	45,60
im-4,1	alcl4	imidazolium	metal complexes	303,20	45,50
im-4,1	alcl4	imidazolium	metal complexes	308,20	45,20
im-4,1	alcl4	imidazolium	metal complexes	313,20	44,90
im-4,1	alcl4	imidazolium	metal complexes	318,20	44,70
im-4,1	alcl4	imidazolium	metal complexes	323,20	44,40
im-4,1	alcl4	imidazolium	metal complexes	328,20	44,20
im-4,1	alcl4	imidazolium	metal complexes	333,20	43,80
im-4,1	alcl4	imidazolium	metal complexes	338,20	43,50
im-4,1	asp	imidazolium	aminoacids	303,15	53,80
im-4,1	asp	imidazolium	aminoacids	308,15	53,20
im-4,1	asp	imidazolium	aminoacids	313,15	52,20
im-4,1	asp	imidazolium	aminoacids	318,15	51,10
im-4,1	asp	imidazolium	aminoacids	323,15	50,20
im-4,1	asp	imidazolium	aminoacids	328,15	49,70
im-4,1	asp	imidazolium	aminoacids	333,15	48,70
im-4,1	asp	imidazolium	aminoacids	338,15	47,50
im-4,1	asp	imidazolium	aminoacids	343,15	47,00
im-4,1	asp	imidazolium	aminoacids	348,15	46,20
im-4,1	aucn2	imidazolium	metal complexes	296,70	46,60
im-4,1	behss	imidazolium	sulfonates	298,15	25,70
im-4,1	behss	imidazolium	sulfonates	298,15	25,70
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,00	46,60
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	293,15	44,28
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,55	43,92
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	293,15	44,81
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,15	44,18
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	312,65	43,58
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	322,15	42,90
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	331,45	42,27
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	341,35	41,64
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,00	43,60
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,00	43,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	308,00	43,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	313,00	42,70
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	318,00	42,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	323,00	42,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	328,00	41,80
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,00	41,50
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	338,00	41,20
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	343,00	40,90
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	348,00	40,70
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	353,00	40,40
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	358,00	40,20
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	363,00	39,80
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	368,00	39,50
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	373,00	39,20
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	378,00	39,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	383,00	38,80
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	388,00	38,50
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	393,00	38,20
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	44,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,41	43,84
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	313,79	43,21
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	323,03	42,58
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,11	42,15
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	342,40	41,56
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	351,23	40,89
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	293,32	44,56
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,48	44,26
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	284,17	45,29
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	288,28	44,98
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	308,38	43,68
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	318,15	43,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	327,80	42,46
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	337,64	41,96
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	348,74	41,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	284,25	45,44
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	288,35	45,15
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	293,48	44,57
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,50	44,41
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,51	44,05
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	308,42	43,63
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	313,73	43,21
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	318,19	43,19
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	323,01	42,84
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	327,90	42,62
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,12	42,07
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	337,65	41,78
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	342,32	41,71
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	348,62	41,16
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	351,44	40,85
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	45,74
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,00	46,01
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,00	45,74
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	313,00	45,20
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,00	44,12
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	353,00	43,04
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	373,00	41,96
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	393,00	40,88
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	413,00	39,80
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	433,00	38,72
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	453,00	37,64
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	36,43
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	45,33
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	293,65	44,60
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,35	43,80
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	312,85	43,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	312,95	43,20
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	322,55	42,50
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	322,65	42,50
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	332,25	42,10
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	341,95	42,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	351,55	41,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	360,95	40,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	297,00	46,90
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	283,15	45,42
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	293,15	44,61
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,15	43,79
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	313,15	43,08
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	323,15	42,58
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,15	41,96
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	288,15	44,97
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	44,37
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	308,15	43,99
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	318,15	43,36
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	328,15	42,43
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	44,70
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,15	44,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	308,15	44,00
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	313,15	43,60
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	318,15	43,30
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	323,15	42,90
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	328,15	42,50
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,15	42,10
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	338,15	41,70
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	38,10
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	336,00	38,40
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	46,60
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	303,00	43,80
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	333,00	42,10
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	298,15	44,60
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	308,15	43,65
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	318,15	42,95
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	328,15	42,25
im-4,1	bf4	imidazolium	tetrafluoroborate derivatives	338,15	41,55
im-4,1	br	imidazolium	inorganics	308,39	49,98
im-4,1	br	imidazolium	inorganics	313,11	49,69
im-4,1	br	imidazolium	inorganics	318,48	49,33
im-4,1	br	imidazolium	inorganics	323,54	48,98
im-4,1	br	imidazolium	inorganics	328,10	48,67
im-4,1	br	imidazolium	inorganics	333,02	48,35
im-4,1	br	imidazolium	inorganics	338,01	48,07
im-4,1	br	imidazolium	inorganics	342,75	47,75
im-4,1	br	imidazolium	inorganics	349,16	47,31
im-4,1	br	imidazolium	inorganics	353,41	47,09
im-4,1	br	imidazolium	inorganics	358,30	46,78
im-4,1	br	imidazolium	inorganics	362,92	46,39
im-4,1	br	imidazolium	inorganics	308,39	50,28
im-4,1	br	imidazolium	inorganics	313,11	49,80
im-4,1	br	imidazolium	inorganics	318,48	49,51
im-4,1	br	imidazolium	inorganics	323,57	49,22
im-4,1	br	imidazolium	inorganics	328,14	48,96
im-4,1	br	imidazolium	inorganics	333,03	48,60
im-4,1	br	imidazolium	inorganics	337,99	48,27
im-4,1	br	imidazolium	inorganics	342,75	48,00
im-4,1	br	imidazolium	inorganics	349,14	47,72
im-4,1	br	imidazolium	inorganics	353,12	47,24
im-4,1	br	imidazolium	inorganics	358,27	47,27
im-4,1	br	imidazolium	inorganics	362,90	46,86
im-4,1	ccn3	imidazolium	methanides	298,30	49,20
im-4,1	ccn3	imidazolium	methanides	308,30	48,50
im-4,1	ccn3	imidazolium	methanides	318,30	48,10
im-4,1	ccn3	imidazolium	methanides	329,10	47,30
im-4,1	ccn3	imidazolium	methanides	338,90	46,60
im-4,1	ccn3	imidazolium	methanides	343,00	46,20
im-4,1	ccn3	imidazolium	methanides	283,39	51,00
im-4,1	ccn3	imidazolium	methanides	293,33	49,23
im-4,1	ccn3	imidazolium	methanides	303,19	48,44
im-4,1	ccn3	imidazolium	methanides	313,08	47,34
im-4,1	ccn3	imidazolium	methanides	323,07	46,40
im-4,1	ccn3	imidazolium	methanides	333,02	45,55
im-4,1	ccn3	imidazolium	methanides	343,42	44,87
im-4,1	ccn3	imidazolium	methanides	353,37	44,03
im-4,1	ccn3	imidazolium	methanides	293,51	49,85
im-4,1	ccn3	imidazolium	methanides	298,28	49,63
im-4,1	ccn3	imidazolium	methanides	303,09	49,27
im-4,1	ccn3	imidazolium	methanides	308,20	48,94
im-4,1	ccn3	imidazolium	methanides	313,20	48,61
im-4,1	ccn3	imidazolium	methanides	317,92	48,28
im-4,1	ccn3	imidazolium	methanides	323,24	47,84
im-4,1	ccn3	imidazolium	methanides	327,90	47,61
im-4,1	ccn3	imidazolium	methanides	333,16	47,18
im-4,1	ccn3	imidazolium	methanides	337,74	46,86
im-4,1	ccn3	imidazolium	methanides	342,89	46,50
im-4,1	ccn3	imidazolium	methanides	347,77	46,24
im-4,1	ccn3	imidazolium	methanides	353,74	45,78
im-4,1	ccn3	imidazolium	methanides	357,09	45,52
im-4,1	ccn3	imidazolium	methanides	363,75	45,20
im-4,1	ccn3	imidazolium	methanides	288,96	50,37
im-4,1	ccn3	imidazolium	methanides	293,47	50,15
im-4,1	ccn3	imidazolium	methanides	298,27	49,94
im-4,1	ccn3	imidazolium	methanides	303,08	49,58
im-4,1	ccn3	imidazolium	methanides	308,17	49,21
im-4,1	ccn3	imidazolium	methanides	313,16	48,84
im-4,1	ccn3	imidazolium	methanides	317,88	48,53
im-4,1	ccn3	imidazolium	methanides	323,17	48,19
im-4,1	ccn3	imidazolium	methanides	327,86	47,84
im-4,1	ccn3	imidazolium	methanides	333,09	47,47
im-4,1	ccn3	imidazolium	methanides	337,71	46,98
im-4,1	ccn3	imidazolium	methanides	342,90	46,68
im-4,1	ccn3	imidazolium	methanides	347,72	46,35
im-4,1	ccn3	imidazolium	methanides	353,64	46,19
im-4,1	ccn3	imidazolium	methanides	357,13	45,31
im-4,1	ccn3	imidazolium	methanides	363,91	45,14
im-4,1	ccn3	imidazolium	methanides	298,32	47,04
im-4,1	ccn3	imidazolium	methanides	307,12	46,29
im-4,1	ccn3	imidazolium	methanides	318,81	45,14
im-4,1	ccn3	imidazolium	methanides	328,45	44,30
im-4,1	ccn3	imidazolium	methanides	341,33	43,30
im-4,1	cl	imidazolium	inorganics	298,00	48,20
im-4,1	cl	imidazolium	inorganics	303,00	47,80
im-4,1	cl	imidazolium	inorganics	308,00	47,50
im-4,1	cl	imidazolium	inorganics	313,00	47,20
im-4,1	cl	imidazolium	inorganics	318,00	46,90
im-4,1	cl	imidazolium	inorganics	323,00	46,60
im-4,1	cl	imidazolium	inorganics	328,00	46,30
im-4,1	cl	imidazolium	inorganics	333,00	46,00
im-4,1	cl	imidazolium	inorganics	338,00	45,60
im-4,1	cl	imidazolium	inorganics	343,00	45,30
im-4,1	cl	imidazolium	inorganics	348,00	45,00
im-4,1	cl	imidazolium	inorganics	353,00	44,70
im-4,1	cl	imidazolium	inorganics	358,00	44,40
im-4,1	cl	imidazolium	inorganics	363,00	43,90
im-4,1	cl	imidazolium	inorganics	368,00	43,60
im-4,1	cl	imidazolium	inorganics	373,00	43,20
im-4,1	cl	imidazolium	inorganics	378,00	42,90
im-4,1	cl	imidazolium	inorganics	383,00	42,50
im-4,1	cl	imidazolium	inorganics	388,00	42,20
im-4,1	cl	imidazolium	inorganics	393,00	41,80
im-4,1	cl	imidazolium	inorganics	308,23	49,64
im-4,1	cl	imidazolium	inorganics	313,06	49,26
im-4,1	cl	imidazolium	inorganics	318,07	48,97
im-4,1	cl	imidazolium	inorganics	323,10	48,58
im-4,1	cl	imidazolium	inorganics	327,90	48,24
im-4,1	cl	imidazolium	inorganics	333,82	47,81
im-4,1	cl	imidazolium	inorganics	338,28	47,55
im-4,1	cl	imidazolium	inorganics	343,23	47,16
im-4,1	cl	imidazolium	inorganics	348,85	46,90
im-4,1	cl	imidazolium	inorganics	353,81	46,50
im-4,1	cl	imidazolium	inorganics	357,26	46,29
im-4,1	cl	imidazolium	inorganics	364,90	45,76
im-4,1	cl	imidazolium	inorganics	303,11	50,32
im-4,1	cl	imidazolium	inorganics	308,27	50,30
im-4,1	cl	imidazolium	inorganics	313,07	49,73
im-4,1	cl	imidazolium	inorganics	318,04	49,68
im-4,1	cl	imidazolium	inorganics	323,10	49,23
im-4,1	cl	imidazolium	inorganics	327,96	48,80
im-4,1	cl	imidazolium	inorganics	333,85	48,35
im-4,1	cl	imidazolium	inorganics	338,23	48,24
im-4,1	cl	imidazolium	inorganics	342,85	47,76
im-4,1	cl	imidazolium	inorganics	348,79	47,38
im-4,1	cl	imidazolium	inorganics	353,87	47,16
im-4,1	cl	imidazolium	inorganics	357,34	46,88
im-4,1	cl	imidazolium	inorganics	364,83	46,46
im-4,1	coscn4	imidazolium	metal complexes	288,15	50,18
im-4,1	coscn4	imidazolium	metal complexes	293,15	49,84
im-4,1	coscn4	imidazolium	metal complexes	298,15	49,54
im-4,1	coscn4	imidazolium	metal complexes	303,15	49,19
im-4,1	coscn4	imidazolium	metal complexes	308,15	48,92
im-4,1	coscn4	imidazolium	metal complexes	313,15	48,54
im-4,1	coscn4	imidazolium	metal complexes	318,15	48,28
im-4,1	ctf3	imidazolium	methanides	298,15	35,10
im-4,1	dca	imidazolium	dicyanamides	298,40	50,60
im-4,1	dca	imidazolium	dicyanamides	307,90	50,30
im-4,1	dca	imidazolium	dicyanamides	318,10	49,70
im-4,1	dca	imidazolium	dicyanamides	328,40	48,60
im-4,1	dca	imidazolium	dicyanamides	339,00	48,10
im-4,1	dca	imidazolium	dicyanamides	342,90	47,50
im-4,1	dca	imidazolium	dicyanamides	293,15	38,14
im-4,1	dca	imidazolium	dicyanamides	282,53	46,71
im-4,1	dca	imidazolium	dicyanamides	288,31	46,37
im-4,1	dca	imidazolium	dicyanamides	292,97	46,14
im-4,1	dca	imidazolium	dicyanamides	298,67	45,81
im-4,1	dca	imidazolium	dicyanamides	303,21	45,42
im-4,1	dca	imidazolium	dicyanamides	308,40	45,33
im-4,1	dca	imidazolium	dicyanamides	313,40	45,01
im-4,1	dca	imidazolium	dicyanamides	318,59	44,81
im-4,1	dca	imidazolium	dicyanamides	323,24	44,47
im-4,1	dca	imidazolium	dicyanamides	328,43	44,21
im-4,1	dca	imidazolium	dicyanamides	333,09	43,98
im-4,1	dca	imidazolium	dicyanamides	338,46	43,65
im-4,1	dca	imidazolium	dicyanamides	343,34	43,48
im-4,1	dca	imidazolium	dicyanamides	348,72	43,16
im-4,1	dca	imidazolium	dicyanamides	356,49	42,72
im-4,1	dca	imidazolium	dicyanamides	282,54	46,51
im-4,1	dca	imidazolium	dicyanamides	288,36	46,40
im-4,1	dca	imidazolium	dicyanamides	292,97	46,24
im-4,1	dca	imidazolium	dicyanamides	298,69	45,88
im-4,1	dca	imidazolium	dicyanamides	303,20	45,87
im-4,1	dca	imidazolium	dicyanamides	308,43	45,56
im-4,1	dca	imidazolium	dicyanamides	313,45	44,99
im-4,1	dca	imidazolium	dicyanamides	318,82	45,11
im-4,1	dca	imidazolium	dicyanamides	323,30	44,50
im-4,1	dca	imidazolium	dicyanamides	328,55	44,12
im-4,1	dca	imidazolium	dicyanamides	333,18	43,99
im-4,1	dca	imidazolium	dicyanamides	338,48	43,53
im-4,1	dca	imidazolium	dicyanamides	343,65	43,22
im-4,1	dca	imidazolium	dicyanamides	348,78	43,48
im-4,1	dca	imidazolium	dicyanamides	356,47	42,66
im-4,1	dca	imidazolium	dicyanamides	293,15	48,60
im-4,1	dca	imidazolium	dicyanamides	294,45	48,80
im-4,1	dca	imidazolium	dicyanamides	298,15	48,60
im-4,1	dca	imidazolium	dicyanamides	303,30	48,60
im-4,1	dca	imidazolium	dicyanamides	303,55	48,50
im-4,1	dca	imidazolium	dicyanamides	316,15	47,20
im-4,1	dca	imidazolium	dicyanamides	325,15	46,30
im-4,1	dca	imidazolium	dicyanamides	344,15	45,00
im-4,1	dca	imidazolium	dicyanamides	332,05	45,70
im-4,1	dca	imidazolium	dicyanamides	332,85	45,50
im-4,1	dca	imidazolium	dicyanamides	341,15	45,80
